id,title,description
31,Beef Wellington,"Fillet steak coated with pâté and duxelles (finely chopped mushrooms), wrapped in puff pastry, then baked."
32,Croissant,"Buttery, flaky, viennoiserie pastry of Austrian origin, named for its historical crescent shape."
33,Ceviche,"South American dish of fresh raw fish cured in fresh citrus juices, most commonly lime or lemon, and spiced with ají, chili peppers or other seasonings."
34,Tom Yum Soup,"Hot and sour Thai soup, usually cooked with shrimp (Tom Yum Goong), lemongrass, kaffir lime leaves, galangal, lime juice, fish sauce, and crushed chili peppers."
35,Paella Valenciana,"Spanish rice dish originally from Valencia, typically made with rice, saffron, chicken, rabbit, green beans, butter beans, and snails."
36,Eggs Benedict,"American breakfast dish consisting of two halves of an English muffin topped with Canadian bacon, a poached egg, and hollandaise sauce."
37,Biryani (Chicken or Lamb),"South Asian mixed rice dish made with spices, rice, and meat (chicken, lamb) or vegetables."
38,Ratatouille,"French Provençal stewed vegetable dish, originating in Nice, primarily consisting of tomatoes, zucchini, eggplant, bell peppers, and onion."
39,Tiramisu,"Coffee-flavoured Italian dessert made of ladyfingers dipped in coffee, layered with a whipped mixture of eggs, sugar, and mascarpone cheese, flavoured with cocoa."
40,Chili Con Carne,"Spicy stew containing chili peppers, meat (usually beef), tomatoes, and often kidney beans or pinto beans."
41,Kimchi Jjigae,"Spicy Korean stew made with kimchi, tofu, pork or seafood, and vegetables."
42,Samosa,"Fried or baked pastry with a savoury filling, such as spiced potatoes, onions, peas, or minced meat, popular in South Asia."
43,Moules Frites,"Belgian dish of mussels cooked typically with white wine and onions, served with French fries."
44,Jambalaya,"Louisiana Creole dish of Spanish and French influence, consisting mainly of meat and vegetables mixed with rice."
45,Baklava,"Rich, sweet dessert pastry made of layers of filo filled with chopped nuts and sweetened and held together with syrup or honey."
46,Cornbread,"Quick bread made with cornmeal, associated with the cuisine of the Southern United States."
47,Gazpacho,"Cold Spanish soup made of raw, blended vegetables, typically tomatoes, cucumbers, peppers, onions, and garlic."
48,Bruschetta,"Italian antipasto consisting of grilled bread rubbed with garlic and topped with olive oil, salt and pepper. Variations include toppings of tomato, vegetables, beans, cured meat, or cheese."
49,Chicken Caesar Wrap,"A wrap sandwich containing the ingredients of a Caesar salad: romaine lettuce, grilled chicken, croutons, Parmesan cheese, and Caesar dressing."
50,Pulled Pork Sandwich,"Sandwich made with slow-cooked pork shoulder shredded ('pulled') and mixed with barbecue sauce, served on a bun."
